AC_Input,Availability,Connectivity_Interface,Filament_Compatibility,Filament_Diameter,Layer_Thickness,Machine_Dimensions,Machine_weight,Nozzle_Diameter,Operating_System,Power_Requirements,Print_Plate,Print_Speed,Print_size,Printing_Software,Sold_by,Supported_File_Formats,Warannty,price,title
,Out Of Stock,,,,,18 * 19.5 * 36.7 cm,4.7 Kg,,Photon Workshop,,,30mm(H)/hour,97mm(L)*54mm(W)*150mm(H),,Anycubic,,,$99 USD,Anycubic Photon Zero SLA 3D Printer
,Out Of Stock,USB,,,,,6.6 Kg,,,,,20mm/hour,115 x 65 x 155 mm,,Anycubic,STL,1 year,$399 USD,Anycubic Photon UV Resin SLA 3D Printer 
,In Stock,USB,,,0.01 - 0.2 mm,230 x 200 x 400 mm,5.9 kg,,,,,20mm/H max,115 x 65 x 165 mm,Photon S Workshop,Anycubic,,One Year,$239 USD,Anycubic Photon S UV Resin SLA 3D Printer
,In Stock,,,,,270mm(L)*290mm(W)*475mm(H),10.75 Kg,,Photon Workshop,,,60mm(H)/hour,192mm(L）*120mm(W）*245mm（H),,Anycubic,,,$589 USD,Anycubic Photon Mono X SLA Resin 3D Printer
,In Stock,,,,,220mm(L)*200mm(W)*400mm(H),8.2 Kg,,Photon Workshop,,,80mm(H)/hour,130mm(L)*78mm(W)*160mm(H),,Anycubic,,,$389 USD,Anycubic Photon Mono SE LCD SLA 3D Printer
,In Stock,,,,,227mm(L)*222mm(W)*383mm(H),4.5 Kg,,Photon Workshop,,,50mm(H)/hour,130mm(L）*80mm(W）*165mm（H),,Anycubic,,,$219 USD,Anycubic Photon Mono LCD SLA 3D Printer
12 Voltage 6A,Out Of Stock,"SD Card, USB line","PLA, TPU, PETG",,,504mm*396mm*607mm,6.4 kg,0.4mm,,"110V/220V AC, 50/60Hz",,20-120mm/s (suggested 60mm/s),220X 220X 250 (mm3),"Cura, Simplify3D",Anycubic,"STL, .OBJ, .AMF, GCODE",1 year,$199 USD,Anycubic Mega Zero 3D Printer Kit
12 Voltage 6A,In Stock,"SD Card, USB line","PLA, TPU, PETG",,,505mm*431mm*607mm,7 kg,0.4mm,,"110V/220V AC, 50/60Hz",,20-120mm/s (suggested 60mm/s),220X 220X 250 (mm3),"Cura, Simplify3D",Anycubic,"STL, .OBJ, .AMF, GCODE",1 year,$199 USD,Anycubic Mega Zero 2.0 3D Printer Kit
,In Stock,"SD Card, USB line","PLA, ABS, HIPS, Wood",,,500mm * 500mm *553mm,14 kg,0.4mm,,"110V/220V AC, 50/60Hz",,20~100mm/s,300mm*300mm*305mm	,"Cura, Simplify3D",Anycubic,"STL, .OBJ, .DAE, .AMF",1 year,$399 USD,Anycubic Mega X 3D Printer 
,In Stock,,"PLA, ABS, HIPS, Wood, TPU, etc",1.75 mm,0.05 - 0.3 mm,405 x 410 x 453 mm,16 kg,0.4 mm,"Windows, MacOS, Linux","110-220V AC, 50/60H",,20~100mm/s (suggested 60mm/s),210x210x205 mm,"Cura, Repetier Host, Simplify3D",Anycubic,".STL, .OBJ, .GCODE",One Year,$329 USD,Anycubic Mega Pro 3D Printer Kit
,Out Of Stock,"SD Card, USB line","PLA, ABS, HIPS, Wood",,,380mm× 680mm (Height) for Linear Plus,7 kg ,0.4mm,,"110V/220V AC, 50/60Hz",,20~60mm/s,230×330 mm,"Cura, Simplify3D",Anycubic,"STL, .OBJ, .AMF, GCODE",1 year,$229 USD,Anycubic Kossel Plus Delta 3D Printer Kit
,In Stock,,"PLA, ABS, HIPS, Wood",1.75 mm,0.05 - 0.3 mm,405 x 410 x 453 mm,16 kg,0.4 mm,"Windows, MacOS, Linux","110-220V AC, 50/60H",,100 mm /sec,210x210x205 mm,"Cura, Repetier Host, Simplify3D",Anycubic,".STL, .OBJ, .GCODE",One Year,$229 USD,Anycubic i3 Mega-S 3D Printer
,In Stock,Memory card; Data cable,"PLA, ABS, HIPS, Wood, TPU",,,651mm * 612mm *720mm,15kg,,,"110V/220V AC, 50/60Hz",,20~100mm/s,400mm * 400mm * 450 mm,"Cura, Smplify3D, Repetier-HOST",Anycubic,".STL, .OBJ, .JPG, PNG, GCode",One Year,$439 USD,Anycubic Chiron 3D Printer
12V DC,Out Of Stock,Memory card; Data cable(expert users only),"PLA, ABS, TPU, HIPS, Wood",1.75mm,,454*466*410mm,18.5 Kg,0.4mm,,110V/220V  AC，50/60Hz,,20~80mm/s (suggested 50mm/s),270mm(L)×205(W)×205mm(H) ,"Cura, Smplify3D, Repetier-HOST",Anycubic,".STL, .OBJ, JPG, PNG",One Year.,$299 USD,Anycubic 4Max Pro Large Desktop 3D Printer
12V DC,In Stock,Memory card; Data cable(expert users only),"ABS,TPU,PLA,HIPS, etc",1.75mm,,454*466*410mm,18.8 Kg,0.4mm,,"110V/220V AC, 50/60Hz 350W",,20~150mm/s( suggested 50mm/s),270mm(L)×210(W) ×190mm(H),"Cura, Smplify3D, Repetier-HOST",Anycubic,".STL, .OBJ, JPG, PNG",,$489 USD,Anycubic 4Max Pro 2.0 3D Printer
12 Voltage DC,2 - 3 Days,"SD Card, USB line","PLA, ABS, HIPS, Wood",,,405mm x 410mm x453mm,16.5kg,0.4mm,,"110V/220V AC, 50/60Hz",,20~60mm/s, 210 x 210 x 205mm	,"Cura, Simplify3D",Anycubic,"STL, .OBJ, .AMF, GCODE",1 year,$399 USD,Anycubic (M) i3 Mega Large 3D Printer Kit
,In Stock,"TF Card, Online Printing","PLA,ABS,HIPS,WOOD,TPU etc.",1.75mm,,612*462*573mm,10 Kg,0.4mm,"Win, Mac and Linux",AC 220V/110V  360W,,10~300mm/s,300*300*350mm,"Cura, Repetier-Host, Simplify 3D",Anet,STL/OBJ/JPG,,$272 USD,Anet A8 Plus 3D Printer Kit
,In Stock,USB or SD Card,"PLA, ABS, HIPS, PC, Wood, TPE soft rubber consumables, fluorescent consumables, metal consumables, transparent consumables, polyplus, soft rubber consumables, wax, PLA-CF carbon fiber, TPU consumables, PLUS carbon fiber, PVA water soluble, PETG , Flexible PLA, water soluble consumables, T-PLA, HCPLA and others",1.75mm,,520X 550X 620mm,13KG,0.4 mm,Win/mac/linux,"110/220V, 360W24V 15A power supply.",Aluminum base heated bed,120 mm/s.,310*310*410mm.,"repetier-host,CURA",Adimlab,"STL,G-Code,AMF,OBJ",One Year,$399 USD,Adimlab Gantry Pro 3D Printer Kit
,In Stock,,,,,,,,,,,,,,Flashforge,,,$18 USD,ABS Filament by Flashforge- Free USA Shipping
,In Stock,,,,,,,,,,,,,,He3D,,,$50 USD,3D Printer Filaments Wood - Free Shipping Worldwide 
,In Stock,,,,,,,,,,,,,,He3D,,,$70 USD,3D Printer Filaments PLA Gradient color - Free Shipping Worldwide
,In Stock,,,,,,,,,,,,,,He3D,,,$47 USD,3D Printer Filaments Nylon - Free Shipping Worldwide 
,In Stock,,,,,,,,,,,,,,He3D,,,$40 USD,3D Printer Filaments HIPS - Free Shipping Worldwide 
,In Stock,,,,,,,,,,,,,,He3D,,,$48 USD,3D Printer Filaments Flexible PLA - Free Shipping Worldwide 
,In Stock,,,,,,,,,,,,,,He3D,,,$60 USD,3D Printer Filament PVA - Free Shipping Worldwide
,In Stock,,,,,,,,,,,,,,He3D,,,$45 USD,3D Printer Filament POM - Free Shipping Worldwide
,In Stock,,,,,,,,,,,,,,He3D,,,$46 USD,3D Printer Filament PLA - Free Shipping Worldwide
,In Stock,,,,,,,,,,,,,,He3D,,,$45 USD,3D Printer Filament PETG - Free Shipping Worldwide
,In Stock,,,,,,,,,,,,,,Creatbot,,,$185 USD,3D Printer Filament PEEK - Free Shipping Worldwide
,In Stock,,,,,,,,,,,,,,He3D,,,$46 USD,3D Printer Filament PC - Free Shipping Worldwide
,In Stock,,,,,,,,,,,,,,He3D,,,$60 USD,3D Printer Filament Metal Material - Free Shipping Worldwide
,In Stock,,,,,,,,,,,,,,He3D,,,$48 USD,3D Printer Filament Copper Fill - Free Shipping Worldwide
3.5A,In Stock,"TF card or USB, LCD display and SD card reader","PLA, ABS, PETG, Wood, PVA and Flexible Filaments ",1.75mm,0.05 mm,470X 575X610mm,14 Kg," 0.4mm (customized 0.3mm/0.2mm)
","Windows, Linux,  Mac","100-120V AC 7A, 200-240V, 360W, 50-60Hz",,180 mm/sec,300 x 300 x 400 mm,"Cura, Repetier-Host",Longer,"STL, G-code",1 Year,$229 USD,Longer LK1 3D Printer Kit
